username,salt,password,in_game_currency
user1,19dc1a26f67974c278cb048ee2f92f30,b0696af74de9c1644d65a4591696482d184d6395b5019857e76a9c0f5901b47d,500
user2,55595d77a1efae045ba6c3c69caf0000,d80df779586bd761165037ad1acce944620e89876a4df298c2a45f24400c4807,1200
user3,962d0d6c73071fa767d4ad8f8d4bab93,fb64dd64c65f7d12878320062f4e84124bb9adf093412e5bbb3e324ded87365d,800
user4,159dd5c7ca4ab85be907ebfdb4456dd9,bc4cab130b18eec25d3e4128b1d52e7a99b4c34b063adb29ba92d21d1f0f872e,500
user5,4407153335321dca741746461c398aaf,d88c0a00fdd450b3ef90fce20fcdf73a81c6e736c8aa04066964349276d9f062,0
user6,9f209c397c07ee0b49b1eaef9558aba0,03d6beea22c86256b0487d47b7c1f67e05cd6a8a655df2589441fe9f563be38c,0
user7,95121c0ac05ccbf000f319edf7f012e0,c20719df7622bc7390b3d7ddba215d82f568c436dce6277a4029e7a7168711b6,650
user8,a57a99c214daced0e1d93a5a3a8cdc35,d998a0f5050f09d59c771d631d6dc631d134291a4401729844fd950bafeef064,1000
user9,285e219ec8b0f70ba5d233ab5994aaab,103b78e0cc3a503a20dd9f3e330a1cfb59f4a591d7e644bccb24891f8a07bb84,200
user10,270eb4c2b8499b3be8b45122005b8f0f,be685714e9066a6a987c1f5c6d517da09ac61d25232b86ed7b087d2c6c8486de,100
